ball_x,ball_y,ball_vel_x,ball_vel_y,paddle_up_x,paddle_up_y,paddle_up_vel,paddle_down_x,paddle_down_y,point
245,345,2,2,210,20,4,210,660,POINT_UP
217,209,2,2,58,20,4,242,660,GAME_GOING
169,625,2,-2,58,20,4,62,660,GAME_GOING
129,149,2,-2,138,20,4,158,660,GAME_GOING
469,457,2,2,206,20,4,210,660,GAME_GOING
433,373,2,-2,326,20,4,70,660,GAME_GOING
393,177,2,2,174,20,4,42,660,GAME_GOING
353,653,2,-2,174,20,4,310,660,GAME_GOING
305,181,2,-2,242,20,4,370,660,GAME_GOING
249,361,2,2,246,20,4,370,660,GAME_GOING
